,Positives,Negatives,Polars,NonPolars
0,4,6,0,4
1,6,10,0,12
2,1,3,1,5
3,6,11,2,9
4,0,4,1,7
5,1,9,2,2
6,0,4,1,8
7,3,6,1,5
8,2,7,1,11
9,4,8,1,8
10,2,8,0,8
11,5,8,1,6
12,0,2,0,7
13,0,5,2,11
14,1,6,1,8
15,0,5,0,7
16,1,4,1,4
17,1,10,0,5
18,0,2,1,6
19,4,10,2,5
20,5,8,4,5
21,5,8,3,8
22,4,8,2,9
23,1,4,2,5
24,1,6,3,4
25,0,2,0,5
26,0,2,0,7
27,5,6,1,6
28,9,13,0,6
29,1,3,0,5
30,1,4,0,6
31,1,4,0,5
32,1,3,0,7
33,1,3,0,4
34,5,6,2,11
35,1,4,0,5
36,1,3,0,5
37,4,18,1,5
38,4,8,2,7
