,Positives,Negatives,Polars,NonPolars
0,5,12,3,34
1,6,10,0,20
2,7,10,0,18
3,9,12,0,10
4,9,10,6,61
5,10,16,12,45
6,8,20,8,31
7,13,27,5,26
8,12,17,3,44
9,6,3,2,10
10,6,10,0,20
11,11,14,9,56
12,6,3,2,10
13,23,27,10,30
14,9,14,7,44
15,12,15,3,24
16,21,25,5,30
17,9,12,0,10
18,25,24,11,38
19,3,7,1,10
20,3,7,1,10
21,9,14,7,44
