Positives,Negatives,Polars,NonPolars
0.15625,0.0625,0.0625,0.71875
0.0967741935483871,0.12903225806451613,0.03225806451612903,0.7419354838709677
0.14634146341463414,0.0975609756097561,0.07317073170731707,0.6829268292682927
0.07894736842105263,0.10526315789473684,0.07894736842105263,0.7368421052631579
0.08771929824561403,0.10526315789473684,0.017543859649122806,0.7894736842105263
0.14285714285714285,0.19047619047619047,0.09523809523809523,0.5714285714285714
0.08333333333333333,0.0625,0.125,0.7291666666666666
0.21311475409836064,0.2459016393442623,0.06557377049180328,0.47540983606557374
0.011111111111111112,0.011111111111111112,0.08888888888888889,0.8888888888888888
0.17857142857142858,0.03571428571428571,0.10714285714285714,0.6785714285714286
0.12962962962962962,0.2037037037037037,0.037037037037037035,0.6296296296296297
0.2,0.24,0.06666666666666667,0.49333333333333335
0.11363636363636363,0.022727272727272728,0.09090909090909091,0.7727272727272727
0.14634146341463414,0.12195121951219512,0.04878048780487805,0.6829268292682927
0.07894736842105263,0.09210526315789473,0.11842105263157894,0.7105263157894737
0.25,0.265625,0.078125,0.40625
0.09090909090909091,0.045454545454545456,0.22727272727272727,0.6363636363636364
0.20512820512820512,0.14102564102564102,0.08974358974358974,0.5641025641025641
0.03333333333333333,0.0,0.05,0.9166666666666666
0.2,0.7538461538461538,0.0,0.046153846153846156
0.02564102564102564,0.05128205128205128,0.07692307692307693,0.8461538461538461
0.2127659574468085,0.2553191489361702,0.10638297872340426,0.425531914893617
0.2,0.21428571428571427,0.1,0.4857142857142857
0.27472527472527475,0.23076923076923078,0.21978021978021978,0.27472527472527475
0.03125,0.0,0.0,0.96875
0.037037037037037035,0.07407407407407407,0.18518518518518517,0.7037037037037037
0.13333333333333333,0.06666666666666667,0.26666666666666666,0.5333333333333333
0.09259259259259259,0.2222222222222222,0.05555555555555555,0.6296296296296297
0.16666666666666666,0.2777777777777778,0.0,0.5555555555555556
0.2,0.2857142857142857,0.0,0.5142857142857142
0.2903225806451613,0.3870967741935484,0.0,0.3225806451612903
0.10465116279069768,0.11627906976744186,0.06976744186046512,0.7093023255813954
0.12048192771084337,0.1927710843373494,0.14457831325301204,0.5421686746987951
0.11940298507462686,0.29850746268656714,0.11940298507462686,0.4626865671641791
0.18309859154929578,0.38028169014084506,0.07042253521126761,0.36619718309859156
0.15789473684210525,0.2236842105263158,0.039473684210526314,0.5789473684210527
0.2857142857142857,0.14285714285714285,0.09523809523809523,0.47619047619047616
0.16666666666666666,0.2777777777777778,0.0,0.5555555555555556
0.12222222222222222,0.15555555555555556,0.1,0.6222222222222222
0.2857142857142857,0.14285714285714285,0.09523809523809523,0.47619047619047616
0.25555555555555554,0.3,0.1111111111111111,0.3333333333333333
0.12162162162162163,0.1891891891891892,0.0945945945945946,0.5945945945945946
0.2222222222222222,0.2777777777777778,0.05555555555555555,0.4444444444444444
0.25925925925925924,0.30864197530864196,0.06172839506172839,0.37037037037037035
0.2903225806451613,0.3870967741935484,0.0,0.3225806451612903
0.25510204081632654,0.24489795918367346,0.11224489795918367,0.3877551020408163
0.14285714285714285,0.3333333333333333,0.047619047619047616,0.47619047619047616
0.14285714285714285,0.3333333333333333,0.047619047619047616,0.47619047619047616
0.12162162162162163,0.1891891891891892,0.0945945945945946,0.5945945945945946
0.1724137931034483,0.1724137931034483,0.06896551724137931,0.5862068965517241
0.0,0.14285714285714285,0.0,0.8571428571428571
0.07692307692307693,0.038461538461538464,0.038461538461538464,0.8461538461538461
0.0,0.0,0.14285714285714285,0.8571428571428571
0.0,0.1111111111111111,0.0,0.8888888888888888
