,Positives,Negatives,Polars,NonPolars
0,0,1,3,4
1,5,9,3,10
2,6,5,2,6
3,6,7,1,8
4,7,7,3,7
5,9,11,0,10
6,4,4,2,5
7,2,3,1,2
8,5,9,4,10
9,2,3,1,4
10,7,11,0,6
11,0,1,3,5
12,2,2,2,8
13,6,12,1,7
14,3,5,5,5
15,2,0,0,4
16,3,2,3,7
17,6,8,3,12
18,4,4,1,7
19,0,0,1,4
20,3,3,0,4
21,3,5,2,7
22,3,2,1,4
23,5,6,6,4
24,0,1,0,8
25,7,12,0,4
26,5,8,3,8
27,6,10,1,12
28,1,6,1,13
29,4,8,3,10
30,3,4,1,14
31,3,3,1,10
32,2,2,2,4
33,0,0,1,5
34,0,0,1,5
