,Positives,Negatives,Polars,NonPolars
0,9,7,0,34
1,18,20,9,50
2,8,3,6,68
3,7,11,3,43
4,11,10,2,54
5,14,19,6,43
6,7,9,16,66
7,4,5,4,29
8,11,13,7,39
9,5,9,2,13
10,0,1,2,26
11,13,15,12,37
12,4,5,5,19
13,8,11,4,47
14,13,13,7,49
15,24,30,11,25
16,26,5,1,24
17,6,7,3,14
18,16,18,8,29
19,18,25,12,39
20,17,20,7,34
21,3,4,4,20
