,Positives,Negatives,Polars,NonPolars
0,14,16,10,29
1,9,12,12,36
2,14,21,1,17
3,10,13,1,37
4,5,12,3,8
5,7,10,7,70
6,10,15,3,53
7,6,11,2,7
8,4,7,3,10
9,6,12,2,6
10,6,12,2,6
11,9,14,4,29
12,0,0,1,19
13,13,13,2,25
14,20,19,3,27
15,8,9,1,7
16,7,6,6,27
17,10,13,9,32
18,2,4,2,25
19,6,9,2,12
20,7,8,4,29
21,15,20,6,26
22,17,19,7,51
23,5,3,0,31
24,22,25,5,22
25,11,10,3,32
